max_depth score_train score_test
1 0.7855241548180905 0.6238197964636798
2 0.9256749231571744 0.7210459815064761
3 0.9667642953734568 0.7904551518474732
4 0.9827244710218234 0.8018999292322482
5 0.9934992313569473 0.7993769835231797
6 0.9968993589393426 0.8125151532342334
7 0.9989149748034664 0.799594130675584
8 0.9995355457709556 0.7995718191689821
9 0.9997942147760412 0.8257869587063545
10 0.9998584873933625 0.8039328949184055
11 0.9998650871969751 0.8125619241812385
12 0.9998650871969751 0.7535368993642682
13 0.9998650871969751 0.7721616036590364
14 0.9998650871969751 0.799444546344863
15 0.9998650871969751 0.8212352935019592
16 0.9998650871969751 0.7533811971223262
17 0.9998650871969751 0.7751193358854527
18 0.9998650871969751 0.7796500890783338
19 0.9998650871969751 0.7747339751201875
20 0.9998650871969751 0.80107578144325
21 0.9998650871969751 0.7696806521782719
22 0.9998650871969751 0.7905011650087573
23 0.9998650871969751 0.72135792724599
24 0.9998650871969751 0.8030527466370286
25 0.9998650871969751 0.7317421239660546
26 0.9998650871969751 0.7946729217746171
27 0.9998650871969751 0.7804693226721326
28 0.9998650871969751 0.7909713853147012
29 0.9998650871969751 0.7507168784579097
30 0.9998650871969751 0.8090399678752287
